ID ,Name ,RA ,DEC ,ℓ,b ,Magnitude,Mag. ,d ,fxpeak,Porb 
24,GRS 1739-278,42:40.0,-27:44:52.70,0.6720951,1.17572417,J=17.2±0.1,J>20.1,7.25±1.25,7.20E-09,
23,XTE J1856+053,56:42.9,+05:18:34.30,38.2584339,1.24875005,Ks=18.28±0.05,Ks=20.1±0.3,,7.46E-10,
22,GRS 1730-312,33:32.0,-31:12:16.00,356.687935,1.00634388,,,,1.14E-08,
21,GRO J1655-40,54:00.1,-39:50:44.90,344.9818318,2.45604284,R=13.55,R=16.3±0.1,3.2±0.2,1.15E-07,62.92±0.003
20,GRS 1716-249,19:36.9,-25:01:03.43,0.1422746,6.99086431,V∼16.6,V≥21.0,2.4±0.4,1.97E-08,
19,GRS 1009-45,13:36.3,-45:04:31.50,275.878471,9.34597492,R<14.7,r=20.4±0.1,3.8±0.3,5.10E-08,6.8449±0.0003
18,GRS 1915+105,15:11.6,+10:56:44.80,45.3657052,-0.21897507,H=13.09,I∼23.7±0.4,9.4±0.8,9.29E-08,812±4
17,GRO J0422+32,21:42.8,+32:54:27.10,165.8808146,-11.91243707,R=12.65,R=21.0±0.1,2.49±0.3,5.77E-08,5.091850±0.000005
16,GRS 1124-684,26:26.6,-68:40:32.83,295.3006588,-7.07263349,V∼13.5,i'=19.92±0.04,4.95+0.69-0.65,1.36E-07,10.38252±2E-05
15,GS 2023+338,24:03.8,+33:52:01.90,73.1187114,-2.09132512,R∼10.7,R=16.58±0.01,2.39±0.14,2.59E-07,155.30803±5E-05
14,GS 1734-275,36:02.0,-27:25:41.00,0.1608028,2.59055981,,,,1.20E-09,
13,GS 2000+251,02:49.5,+25:14:11.36,63.3663891,-2.99847575,V=16.4,R=21.3±0.2,2.7±0.7,3.46E-07,8.258095±0.000005
12,GS 1354-64,58:09.7,-64:44:05.80,309.9774112,-2.77987343,V=16.9,i'∼20.2,∼25,2.38E-09,61.068±0.002
11,EXO 1846-031,49:17.1,-03:03:55.26,29.9580344,-0.91793414,r>23,I>22.3,∼7,1.02E-08,
10,SLX 1746-331,49:49.0,-33:12:17.10,356.8092322,-2.97358081,Ks=18.78±0.06,,,1.37E-08,
9,H 1705-250,08:14.5,-25:05:30.15,358.5892354,9.05387073,B=16.3±0.5,R∼20.9±0.2,8.6±2.1,1.75E-08,12.51±0.03
8,H 1743-322,46:15.6,-32:14:00.86,357.2550371,-1.83291737,I=19.6,i'>24,∼10,4.62E-08,
7,3A 0620-003,22:44.5,-00:20:44.72,209.9563081,-6.53987555,V∼11.1,V=18.23±0.04,1.06±0.1,2.65E-06,7.752340±2E-06
6,3A 1524-617,28:17.0,-61:52:57.80,320.3189872,-4.42688518,B=17.3,I=21.78±0.09,,4.66E-08,8 – 15
5,1H 1659-487,02:49.4,-48:47:23.40,338.9390902,-4.32648295,I=13.6±0.1,r=19.9±0.1,>5,2.56E-08,42.21±0.01
4,4U 1755-338,58:40.0,-33:48:26.80,357.215521,-4.87236175,V∼18.5,V>21.96,6.5±2.5,1.17E-09,∼4.4
3,4U 1543-475,47:08.3,-47:40:10.80,330.917871,5.42614694,V=14.9,V=16.7,7.5±0.5,9.42E-08,26.79377±0.00007
2,4U 1630-472,34:01.6,-47:23:34.80,336.9112429,0.25029536,K (not AB)=16.1,,4.7-11.5,2.65E-08,
1,Cen X-2,00:28.2,-64:47:35.60,310.2000982,-2.9001343,,,,1.58E-07,
